"source_type","source_input","schedule_enabled","cron_expression","timezone","active","run_timeout_ms","run_max_retries","params"
"youtube","https://www.youtube.com/channel/UCKmSF6eFkqyXQNX1TUudbmw","true","45 7 * * 0","Europe/London","true","","","{""source_name"":""Brian Harrington""}"
"youtube","https://www.youtube.com/channel/UC2b2wgxm0vFjQfJJ0iRcFRw","true","50 7 * * 0","Europe/London","true","","","{""source_name"":""AI-GPT Workshop""}"
"youtube","https://www.youtube.com/channel/UCpsoJVVPRUL1KKeSFg4XZRQ","true","55 7 * * 0","Europe/London","true","","","{""source_name"":""Android Headlines""}"
"youtube","https://www.youtube.com/channel/UCKSVUHI9rbbkXhvAXK-2uxA","true","0 8 * * 0","Europe/London","true","","","{""source_name"":""Supercar Blondie""}"
"youtube","https://www.youtube.com/channel/UCKRoXz3hHAu2XL_k3Ef4vJQ","true","5 8 * * 0","Europe/London","true","","","{""source_name"":""Pod Save America""}"
"youtube","https://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA","true","10 8 * * 0","Europe/London","true","","","{""source_name"":""Associated Press""}"
"youtube","https://www.youtube.com/channel/UC0oK8s58FCWQUePi32hWhdw","true","15 8 * * 0","Europe/London","true","","","{""source_name"":""Totally Handy""}"
"youtube","https://www.youtube.com/channel/UCrM7B7SL_g1edFOnmj-SDKg","true","20 8 * * 0","Europe/London","true","","","{""source_name"":""Bloomberg Technology""}"
"youtube","https://www.youtube.com/channel/UC5uK4jxud015d2M96OJKg3g","true","25 8 * * 0","Europe/London","true","","","{""source_name"":""Crypto Highlights""}"
"youtube","https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg","true","30 8 * * 0","Europe/London","true","","","{""source_name"":""MeidasTouch""}"
"youtube","https://www.youtube.com/channel/UCpHA66weGt-2yyETrfeDAyg","true","35 8 * * 0","Europe/London","true","","","{""source_name"":""LPL Research""}"
"youtube","https://www.youtube.com/channel/UCIALMKvObZNtJ6AmdCLP7Lg","true","40 8 * * 0","Europe/London","true","","","{""source_name"":""Bloomberg""}"
"youtube","https://www.youtube.com/channel/UCYxRlFDqcWM4y7FfpiAN3KQ","true","45 8 * * 0","Europe/London","true","","","{""source_name"":""The White House""}"
"youtube","https://www.youtube.com/channel/UCKUnDDXDVdJOSnfs3BuYmLg","true","50 8 * * 0","Europe/London","true","","","{""source_name"":""STEPN""}"
"youtube","https://www.youtube.com/channel/UCKWaEZ-_VweaEx1j62do_vQ","true","55 8 * * 0","Europe/London","true","","","{""source_name"":""IBM Technology""}"
"youtube","https://www.youtube.com/channel/UCdYiLrXdXkkvD8WdaG3rstQ","true","0 9 * * 0","Europe/London","true","","","{""source_name"":""NAVER LABS""}"
"youtube","https://www.youtube.com/channel/UC8fQjKlq0351iZcWU6I61WA","true","5 9 * * 0","Europe/London","true","","","{""source_name"":""Decimated""}"
"youtube","https://www.youtube.com/channel/UCycUiFX_HsAhGb-UXfVsQVw","true","10 9 * * 0","Europe/London","true","","","{""source_name"":""Illuvium""}"
"youtube","https://www.youtube.com/channel/UCVgL_VeHteGecp5nn0NRztQ","true","15 9 * * 0","Europe/London","true","","","{""source_name"":""Stansberry Media""}"
"youtube","https://www.youtube.com/channel/UCG5LuxhUtax6wVhH1qPNxvA","true","20 9 * * 0","Europe/London","true","","","{""source_name"":""Red Hat""}"
"youtube","https://www.youtube.com/channel/UCwdbsDtaMAh6QXvcbp08YzQ","true","25 9 * * 0","Europe/London","true","","","{""source_name"":""Chuck Cook""}"
"youtube","https://www.youtube.com/channel/UCgqus_DBpRevUyITHaOOrag","true","30 9 * * 0","Europe/London","true","","","{""source_name"":""Wilder World""}"
"youtube","https://www.youtube.com/channel/UCNYFCvsTVPMOz5fPjCAMNZg","true","35 9 * * 0","Europe/London","true","","","{""source_name"":""Teeka Tiwari""}"
"youtube","https://www.youtube.com/channel/UCrCVVPXOfpOXh91k25eKHbw","true","40 9 * * 0","Europe/London","true","","","{""source_name"":""Mr. Reflow""}"
"youtube","https://www.youtube.com/channel/UC5Wz4fFacYuON6IKbhSa7Zw","true","45 9 * * 0","Europe/London","true","","","{""source_name"":""MattVidPro""}"
"youtube","https://www.youtube.com/channel/UC_40NdUjhNW6VSFFKrryjNw","true","50 9 * * 0","Europe/London","true","","","{""source_name"":""Sawyer Merritt""}"
"youtube","https://www.youtube.com/channel/UC7vVhkEfw4nOGp8TyDk7RcQ","true","55 9 * * 0","Europe/London","true","","","{""source_name"":""Boston Dynamics""}"
"youtube","https://www.youtube.com/channel/UCK-zlnUfoDHzUwXcbddtnkg","true","0 10 * * 0","Europe/London","true","","","{""source_name"":""ARK Invest""}"
"youtube","https://www.youtube.com/channel/UC-hKNOj4P-Y8hR9QEHpZPig","true","5 10 * * 0","Europe/London","true","","","{""source_name"":""Bridgewater""}"
"youtube","https://www.youtube.com/channel/UCmKtn_HvpfbTu3QV4lhJIMw","true","10 10 * * 0","Europe/London","true","","","{""source_name"":""CNET Highlights""}"
"youtube","https://www.youtube.com/channel/UCevXpeL8cNyAnww-NqJ4m2w","true","15 10 * * 0","Europe/London","true","","","{""source_name"":""Anthony Pompliano""}"
"youtube","https://www.youtube.com/channel/UCru3nlhzHrbgK21x0MdB_eg","true","20 10 * * 0","Europe/London","true","","","{""source_name"":""Natalie Brunell""}"
"youtube","https://www.youtube.com/channel/UC6GV9kv4vDs20lY3UI47Zsw","true","25 10 * * 0","Europe/London","true","","","{""source_name"":""RodMillerAI""}"
"youtube","https://www.youtube.com/channel/UCUr_YzOB7pp50F4r1KJ7Dag","true","30 10 * * 0","Europe/London","true","","","{""source_name"":""My financial friend""}"
"youtube","https://www.youtube.com/channel/UCCgvzAQRHmrdO7vMxb6gs_A","true","35 10 * * 0","Europe/London","true","","","{""source_name"":""Large Man Abroad""}"
"youtube","https://www.youtube.com/channel/UCMmfUj8CcXeqpqWkund3ELg","true","40 10 * * 0","Europe/London","true","","","{""source_name"":""Smart Money Bro""}"
"youtube","https://www.youtube.com/channel/UC__d7jgOunIVFz6TU_t1QOQ","true","45 10 * * 0","Europe/London","true","","","{""source_name"":""David Carbutt""}"
"youtube","https://www.youtube.com/channel/UCSBilL6FoaKp-RsfYvseHBQ","true","50 10 * * 0","Europe/London","true","","","{""source_name"":""Plan B""}"
"youtube","https://www.youtube.com/channel/UCKMeK-HGHfUFFArZ91rzv5A","true","55 10 * * 0","Europe/London","true","","","{""source_name"":""Wealthion""}"
"youtube","https://www.youtube.com/channel/UCVFSzL3VuZKP3cN9IXdLOtw","true","0 11 * * 0","Europe/London","true","","","{""source_name"":""Raoul Paul""}"
"youtube","https://www.youtube.com/channel/UCI1aeNZ-2lqnp9l1VJu2FOQ","true","5 11 * * 0","Europe/London","true","","","{""source_name"":""ChangeIsPossiblePodcast""}"
"youtube","https://www.youtube.com/channel/UCatID1g14HqyWufbrkgtbyg","true","10 11 * * 0","Europe/London","true","","","{""source_name"":""BlackTesla""}"
